rawFname,theta,sd
0,-3.532,0.583
1,-3.306,0.565
2,-3.102,0.55
3,-2.916,0.54
4,-2.746,0.532
5,-2.59,0.527
6,-2.445,0.523
7,-2.31,0.52
8,-2.183,0.518
9,-2.061,0.516
10,-1.944,0.513
11,-1.83,0.51
12,-1.717,0.506
13,-1.603,0.502
14,-1.487,0.496
15,-1.368,0.489
16,-1.245,0.482
17,-1.117,0.475
18,-0.985,0.469
19,-0.848,0.463
20,-0.707,0.458
21,-0.561,0.454
22,-0.411,0.451
23,-0.256,0.449
24,-0.098,0.449
25,0.066,0.45
26,0.234,0.453
27,0.407,0.457
28,0.587,0.462
29,0.774,0.47
30,0.97,0.479
31,1.176,0.491
32,1.395,0.505
33,1.63,0.523
34,1.886,0.546
35,2.168,0.573
36,2.485,0.608
